#{"t_start": 1533039087.7004023, "env_id": "Hopper-v2"}
r,l,t
36.295882,30,7.209385
32.706449,33,7.224204
71.858656,49,7.245553
29.958865,27,7.257438
51.774527,31,7.271163
53.29386,33,7.285788
6.877304,10,7.290125
158.686913,82,7.32601
17.720312,18,7.333113
14.158924,16,7.339399
68.203359,57,7.363472
19.001963,22,7.373221
10.77383,17,7.380637
45.989214,66,7.407931
99.134424,70,7.439097
93.75674,60,7.465783
21.249368,31,7.479604
31.213051,35,7.495107
99.75476,56,7.519703
11.679447,30,7.533019
13.400691,15,7.539557
9.648478,12,7.544812
18.82592,16,7.55183
38.497057,28,7.56421
147.926925,81,7.599861
60.217336,36,7.61586
17.487063,17,7.623435
114.583701,61,7.65084
15.379854,18,7.658364
40.953844,33,7.671391
8.749414,11,7.675768
91.641427,55,7.697154
50.780024,30,7.709097
5.546738,8,7.712285
125.265788,97,7.75101
22.815008,29,7.762895
13.872313,17,7.769686
14.197003,20,7.777823
58.834783,37,7.792533
78.640944,44,7.809819
58.400318,45,7.827522
10.382394,13,7.832635
21.625231,22,7.841303
74.087396,52,7.861706
37.561644,27,7.872338
98.210792,61,7.896642
18.645571,27,7.907527
8.231952,11,7.911889
58.709706,41,7.928097
82.31944,51,7.948328
79.929537,47,7.968258
78.446241,51,7.990834
10.627283,17,7.998336
18.696632,17,8.005828
6.917438,9,8.009776
41.148754,28,8.022187
20.959047,20,8.03101
76.106047,57,8.055948
12.239954,14,8.062045
67.218264,44,8.081295
49.888078,49,8.102507
43.910373,34,8.117283
12.223644,16,8.1243
72.451426,51,8.14628
7.166317,11,8.150994
8.997294,20,8.159158
24.574296,21,8.167558
107.612306,84,8.200886
14.898236,30,8.21272
75.449973,58,8.235575
7.052997,9,8.239163
75.352062,44,8.257214
69.721386,44,8.274646
54.317404,32,8.287289
8.400572,14,8.292893
39.937221,45,8.310678
107.433037,71,8.338576
6.813146,9,8.342062
41.883794,39,8.358144
19.689188,20,8.367106
6.665599,12,8.372482
128.289897,69,8.402663
9.965113,11,8.407578
76.014804,44,8.427021
12.413603,13,8.432831
89.950817,51,8.455135
101.225171,55,8.47903
17.13267,22,8.488704
38.421176,29,8.501436
25.948093,29,8.514129
28.781008,25,8.525005
53.394615,45,8.544586
117.928382,71,9.037182
103.950207,56,9.061519
12.872557,14,9.067512
67.814087,43,9.085624
71.153924,43,9.103812
110.616895,74,9.135115
14.08734,14,9.141027
70.683681,42,9.15888
94.569508,53,9.18135
75.658682,46,9.200889
24.995997,24,9.211067
175.408317,114,9.258563
6.363262,9,9.262414
22.626005,40,9.280013
83.02721,51,9.302733
10.251119,16,9.309788
158.422131,87,9.347636
50.195544,30,9.360945
21.331591,25,9.372164
80.580702,64,9.400596
65.273582,39,9.417661
12.197474,20,9.426539
14.948076,32,9.44092
114.202021,80,9.476094
151.250958,102,9.520835
77.592611,47,9.54131
