ev_tdlam_before,EpisodesSoFar,entloss,surrgain,EpThisIter,EpRewMean,EpLenMean,meankl,optimgain,TimestepsSoFar,TimeElapsed,entropy
0.9162017926573753,896,0.0,0.019979704,32,570.1022206023335,217.675,0.0057941363,0.019979704,89849,47.454272747039795,3.9645853
0.9185570850968361,928,0.0,0.019276181,32,682.9378594711422,263.45,0.005818063,0.019276181,98482,51.9146568775177,3.9435391
0.9505213238298893,960,0.0,0.020912608,32,779.8814744964242,287.35,0.006774703,0.020912608,108044,56.77092146873474,3.9174802
0.8862224817276001,992,0.0,0.017186709,32,933.638034811616,349.925,0.0060087116,0.017186709,119458,62.574997425079346,3.9036713
0.9588091596961021,1024,0.0,0.015448424,32,1003.9580940648914,366.0,0.005873955,0.015448424,131773,68.9607355594635,3.8802428
0.9031637459993362,1056,0.0,0.011857789,32,1322.6157949954272,489.75,0.0045174034,0.011857789,148283,77.53814673423767,3.8916018
0.9159766286611557,1088,0.0,0.012787218,32,1452.7333964541554,543.875,0.005551979,0.012787218,165851,86.62235975265503,3.8916292
0.9018724635243416,1120,0.0,0.012998818,32,1657.6488189309835,622.25,0.0056246994,0.012998818,185657,96.76090168952942,3.880448
0.927640825510025,1152,0.0,0.01050974,32,1671.9819081395865,618.15,0.0049158903,0.01050974,204745,106.59043192863464,3.8715003
0.9082920700311661,1184,0.0,0.009658608,32,1681.5543741375209,609.675,0.0057247886,0.009658608,224397,116.6111969947815,3.839524
0.9304587841033936,1216,0.0,0.0115082,32,1879.4861005336047,654.55,0.00558941,0.0115082,244537,126.75893950462341,3.8207073
0.924934484064579,1248,0.0,0.011186792,32,1795.9736579492687,612.75,0.005134737,0.011186792,264465,136.93481540679932,3.8091488
0.7964188009500504,1280,0.0,0.009182792,32,2073.5717382967473,714.725,0.0054742894,0.009182792,287893,149.11852836608887,3.795607
0.6672299802303314,1312,0.0,0.008720079,32,2205.8445892587306,784.3,0.0047817924,0.008720079,314079,162.6561634540558,3.789078
