#{"t_start": 1533046260.8497899, "env_id": "Hopper-v2"}
r,l,t
258.161563,111,19.786817
226.492944,106,19.831998
210.997979,92,19.870391
222.982203,96,19.912043
217.652451,97,19.954218
210.192255,94,19.994919
258.494202,111,20.042679
242.074945,105,20.087851
246.935552,108,20.132916
221.299519,99,20.175522
234.39572,109,20.222326
237.374794,112,20.269305
193.800129,86,20.305857
218.629183,101,20.349645
197.283268,88,20.386799
233.556368,107,20.431799
233.5832,109,20.476662
229.362133,101,20.519661
202.473346,90,20.558078
233.688995,101,20.926591
253.144775,111,20.975183
232.675151,103,21.019693
257.484953,120,21.072158
202.538593,100,21.115948
230.055404,112,21.164862
193.754194,87,21.201729
236.685791,113,21.250158
20.404635,39,21.267968
279.517986,145,21.330828
325.127233,147,21.393841
322.915124,142,21.454127
284.554914,137,21.513408
269.181309,119,21.565399
213.101406,92,21.604112
214.747982,95,21.643823
272.138786,113,21.690672
261.488439,110,21.736976
233.687417,102,21.779698
244.705213,113,21.827246
222.663571,102,21.870432
224.272397,106,21.914953
219.61376,98,21.957509
292.447675,128,22.012351
241.5727,113,22.060982
262.439468,128,22.116765
231.459734,104,22.161965
217.72123,98,22.204635
270.550491,127,22.259239
249.992538,113,22.308525
242.786634,105,22.354497
223.707002,111,22.402419
238.17735,102,22.787122
230.574934,99,22.828382
228.426899,98,22.869092
319.888178,120,22.918362
286.132241,114,22.966509
339.524779,155,23.033273
248.223672,116,23.084086
190.975728,88,23.121877
220.222187,95,23.163304
291.794416,138,23.222604
293.432426,119,23.27389
274.15161,125,23.328355
273.361149,132,23.386012
273.577512,116,23.4371
284.616964,123,23.491528
300.826941,135,23.550252
205.279254,91,23.590758
286.848292,121,23.644189
270.176429,121,23.697145
237.51621,106,23.741854
226.274795,106,23.788186
271.052685,124,23.842146
206.001589,95,23.882982
241.44442,105,23.928054
229.562453,109,23.975271
231.294709,105,24.019981
262.024409,124,24.073551
255.310065,122,24.12643
256.496153,116,24.177028
223.016585,100,24.220677
295.134431,136,24.279033
249.893521,111,24.327285
293.185824,119,24.708097
254.319741,105,24.751448
250.886856,119,24.80076
248.317097,106,24.845605
254.013606,108,24.889821
252.516227,129,24.943918
245.297586,113,24.990192
246.775001,117,25.038397
345.67626,144,25.097768
271.843372,112,25.143766
352.510149,154,25.20617
290.792176,120,25.255588
268.85383,124,25.30855
200.102031,90,25.347267
309.70612,162,25.417226
227.161563,96,25.4596
270.466971,122,25.512717
311.069302,131,25.568874
318.555851,126,25.623749
346.991987,164,25.693968
225.197057,105,25.74012
322.557144,139,25.798476
333.202084,129,25.854052
268.762801,120,25.906647
384.389796,172,25.980429
289.201675,165,26.049937
274.190616,147,26.114216
231.520642,110,26.16173
269.022775,109,26.209043
293.775896,116,26.259363
283.014477,116,26.309468
299.450646,120,26.361598
319.379858,130,26.810366
287.56925,133,26.867736
257.523227,122,26.917735
270.793076,113,26.962245
301.480937,137,27.015956
310.801289,141,27.070178
402.105071,193,27.150821
388.653202,166,27.221941
287.268113,118,27.274075
353.429846,151,27.337618
338.397032,148,27.399853
257.161514,115,27.449723
384.885698,165,27.518406
332.90232,131,27.57317
283.664654,116,27.62039
272.378362,115,27.666728
250.629412,117,27.718053
283.714623,134,27.77657
259.999119,123,27.831318
326.50407,132,27.888909
338.071125,133,27.94605
283.023134,122,27.998414
223.303218,100,28.04153
287.726698,123,28.094098
263.659326,119,28.14593
336.860564,146,28.209193
301.022276,118,28.258823
264.688744,124,28.312285
236.804103,117,28.36008
328.4195,132,28.412916
247.645509,117,28.464558
329.04515,136,28.520889
294.892119,118,28.967769
266.673103,124,29.021597
315.368272,126,29.076032
288.44832,127,29.130538
314.191739,149,29.194743
309.963827,120,29.245464
324.284561,132,29.299045
309.881666,134,29.355564
306.323878,137,29.41471
324.177048,131,29.469131
318.017811,130,29.525295
326.089147,126,29.579699
322.277321,137,29.638453
225.155318,97,29.681355
327.077784,146,29.744028
282.703989,133,29.799794
263.489078,113,29.848375
323.410457,127,29.902811
279.114269,117,29.952314
275.957922,134,30.009875
285.333622,135,30.067651
294.796366,135,30.125886
310.669698,122,30.178976
334.597867,128,30.233693
342.66409,154,30.300786
261.703601,109,30.349036
288.537913,116,30.399652
291.262627,123,30.452499
324.864436,148,30.516006
311.09417,138,30.575148
296.815124,123,30.627873
254.690944,113,30.675225
359.520201,152,31.09931
430.996481,172,31.172598
330.593318,128,31.225385
360.743336,135,31.281247
328.298995,125,31.33245
290.766733,132,31.386222
358.80648,161,31.452303
391.130359,163,31.518902
300.043546,140,31.576696
453.733272,169,31.645346
299.27842,119,31.694227
276.483843,111,31.73925
277.977907,131,31.79265
446.94631,188,31.868642
355.410101,155,31.932257
342.601341,132,31.986346
365.187612,159,32.051288
298.159308,129,32.104001
332.309266,130,32.157645
459.261748,186,32.233939
341.509025,121,32.280193
421.441913,163,32.344376
344.223061,124,32.396024
326.359643,145,32.45651
368.571441,160,32.522473
312.449175,136,32.580201
330.835329,135,32.636689
250.616855,109,32.682816
354.216276,133,32.739045
407.704424,168,32.809314
326.626864,135,32.866671
353.826832,152,32.932615
391.2004,174,33.463999
446.521616,194,33.543424
320.042549,125,33.594214
299.829222,140,33.653492
343.51912,123,33.706733
350.388784,153,33.771914
435.418813,172,33.841693
310.908598,130,33.897202
514.152266,224,33.992384
349.767296,167,34.063882
333.354907,135,34.122482
420.268011,166,34.19048
360.201762,137,34.243307
334.449839,131,34.293992
347.43507,131,34.345307
286.265193,114,34.389825
331.881898,120,34.435934
372.252601,140,34.490222
336.85603,138,34.543381
294.321319,135,34.59548
298.31432,133,34.651838
373.182216,148,34.715321
396.049975,171,34.787157
512.165422,199,34.871533
315.348512,131,34.928038
553.370166,236,35.02915
331.276364,130,35.084906
351.152591,143,35.146841
340.470758,137,35.206509
298.966297,135,35.265012
313.84047,143,35.32731
350.387994,137,35.385874
453.713838,207,35.923498
277.72269,126,35.978237
527.463985,200,36.064576
362.650693,143,36.126069
392.515563,149,36.190498
321.255093,145,36.253788
567.300007,212,36.344697
257.145367,118,36.395916
303.638772,131,36.451719
484.996022,195,36.531894
312.295102,132,36.582621
518.646969,196,36.658122
349.244873,128,36.710665
411.987304,151,36.775194
467.993571,190,36.855957
601.952496,241,36.958041
357.372771,147,37.02192
348.153389,147,37.084841
331.482984,126,37.139459
457.51326,226,37.236756
346.159565,128,37.291772
428.596809,176,37.366243
511.144041,203,37.45225
360.088913,133,37.508741
519.404335,213,37.599259
440.930438,178,37.675327
266.051347,107,37.721395
355.493164,129,37.776637
387.869036,158,37.844653
463.685914,204,37.931176
538.861631,202,38.017933
185.624323,89,38.056665
459.768251,184,38.645985
594.08319,208,38.734311
399.268492,144,38.797238
582.330809,215,38.889835
441.82283,165,38.960085
308.923298,149,39.024558
352.595208,130,39.079944
331.638552,125,39.134312
347.083339,151,39.198909
364.354659,149,39.26227
301.854302,136,39.321
451.143219,159,39.388593
526.471906,219,39.482923
545.047774,198,39.567533
446.765676,159,39.635136
183.24181,100,39.677706
530.916477,206,39.765473
365.15613,150,39.830488
307.413517,132,39.887167
521.395801,184,39.965327
488.832556,212,40.056315
322.15116,133,40.113536
360.482525,144,40.175527
471.035968,187,40.255479
360.82543,153,40.32095
822.138653,345,40.469325
553.665399,226,40.566032
364.033734,134,40.624612
398.976619,154,40.691441
304.442172,135,40.748693
466.837257,162,40.817201
328.19144,130,40.873213
656.258256,259,41.490843
357.917369,128,41.543403
399.717415,150,41.607673
241.591714,119,41.659184
409.631378,144,41.720309
535.486367,210,41.809857
551.202808,221,41.903336
422.433528,157,41.970338
555.544268,195,42.053211
530.515626,222,42.148285
469.554085,168,42.220454
657.120204,241,42.321428
714.234854,273,42.434389
537.004841,207,42.523154
557.254319,214,42.614912
441.680829,178,42.688676
213.598498,102,42.732385
580.231288,215,42.82385
570.970926,195,42.908554
542.452213,204,42.987051
511.863241,207,43.072057
543.553947,229,43.170167
508.290285,180,43.246671
398.114252,137,43.304645
521.065422,223,43.394958
462.739471,186,43.474081
606.215874,205,43.559461
342.712614,136,43.617163
593.128475,208,43.704325
593.5923,238,43.805681
428.053168,167,43.876592
457.515425,163,43.945356
488.062496,176,44.617987
768.963438,292,44.742173
504.137074,223,44.83707
663.342789,222,44.928664
556.702387,216,45.016895
673.684928,236,45.114066
566.264017,214,45.206165
633.122922,259,45.31764
549.21181,196,45.40074
766.868825,274,45.514743
659.307003,248,45.619512
322.593598,161,45.687202
579.310354,234,45.787691
651.043168,253,45.896342
376.769367,133,45.952971
727.840231,296,46.079924
370.654118,141,46.14069
515.694489,176,46.213604
561.841765,201,46.298074
664.261411,262,46.409581
649.896348,220,46.503966
690.188671,292,46.629126
612.106987,217,46.72044
335.194823,134,46.77637
1152.575702,433,46.958735
395.242794,167,47.027812
580.759777,216,47.120561
565.894498,247,47.225756
421.303734,163,47.29478
590.344229,233,47.393973
607.934208,224,47.48809
597.948126,222,47.583731
653.011322,228,48.389654
710.391008,348,48.540458
477.49467,205,48.629418
808.365677,281,48.750633
555.642977,255,48.856073
610.360385,239,48.954427
776.822342,299,49.076072
742.663458,263,49.184474
598.722766,213,49.275429
700.98814,297,49.402171
1178.964344,440,49.590189
702.574459,286,49.712602
562.728246,214,49.804148
518.624356,190,49.885437
441.980812,348,50.036274
1366.421454,598,50.290809
523.49396,170,50.364223
668.525338,222,50.4576
1002.729057,384,50.618415
712.314175,232,50.714847
526.745198,175,50.788869
711.757632,250,50.895129
583.036239,224,50.991738
965.290529,340,51.137787
934.510235,376,51.290704
699.510455,227,51.387769
541.618719,213,51.479093
519.619145,183,51.556906
667.6517,221,51.649505
762.106172,282,51.770223
495.477619,180,51.84687
685.36873,250,51.953267
738.475189,239,52.852559
672.997096,225,52.944832
551.115805,181,53.018934
670.954725,236,53.114834
559.53754,190,53.192305
1144.316116,468,53.384142
1002.332721,340,53.522351
788.602345,316,53.651142
765.161346,275,53.763433
1297.659563,529,53.978872
671.033678,254,54.083118
777.534924,254,54.186934
946.632932,345,54.327642
907.510778,312,54.459128
1104.530269,397,54.613398
890.154407,352,54.757845
481.513665,203,54.836008
659.194801,246,54.934788
578.402252,207,55.02271
924.456747,307,55.152434
634.133048,253,55.260509
509.63912,164,55.330474
895.70946,334,55.47155
781.273231,352,55.612682
1395.163327,580,55.852102
558.223801,202,55.938875
713.34774,219,56.031732
827.821956,304,56.160323
676.19284,239,56.260793
1235.73475,476,56.463429
748.638578,276,56.581444
781.401449,287,56.704123
333.268044,179,57.68556
1481.841078,603,57.932578
390.810893,155,57.99717
730.564268,325,58.131132
750.815132,241,58.22989
1337.774563,490,58.429932
766.538329,255,58.534342
912.443775,332,58.670983
1698.143021,706,58.958394
896.71472,306,59.082895
1578.889745,593,59.324486
964.669084,305,59.454774
859.061167,290,59.578272
848.971913,329,59.718864
1167.554766,434,59.903743
2109.61779,753,60.223074
711.140841,259,60.334867
1061.823139,377,60.490556
690.479765,216,60.575654
1706.31074,645,60.843662
947.875529,408,61.018039
680.33307,232,61.116644
650.422194,237,61.216108
1214.340088,419,61.390423
483.933306,165,61.455302
458.818545,165,61.520701
244.785534,174,61.596958
1287.750241,503,61.808184
744.023147,260,61.92016
1068.066302,379,62.080101
822.178263,417,62.25795
809.037968,262,62.370147
587.352844,188,63.491314
930.396054,323,63.622728
1229.177188,406,63.796814
904.198377,341,63.943328
1881.270992,705,64.230799
954.914343,325,64.363745
709.692924,273,64.475551
1438.258388,502,64.6879
1653.630627,621,64.951216
1014.626167,371,65.110572
909.559544,325,65.249507
1034.030455,336,65.385692
907.174175,310,65.517147
717.346667,249,65.621728
959.193433,324,65.758253
1079.379056,367,65.912625
986.900875,371,66.069813
1558.934004,571,66.313525
1212.594821,421,66.495182
1357.26825,485,66.699578
677.289804,296,66.823272
586.667706,220,66.915435
985.96145,369,67.072287
1266.282831,536,67.299159
1036.036085,381,67.456436
811.72472,281,67.572863
1041.895564,339,67.71163
1087.706163,400,67.878982
986.319022,328,68.017756
941.972179,292,68.140565
1454.84705,579,68.383617
1337.128701,480,68.589657
1250.201508,413,69.969644
1861.68499,702,70.266973
1451.600425,533,70.494283
1001.416919,387,70.659535
2356.857572,839,71.01123
1528.930624,494,71.216496
887.597768,308,71.343124
672.625858,219,71.432839
1351.304605,426,71.609816
1014.678759,442,71.796483
1608.894609,604,72.05198
1098.561678,497,72.261704
1735.246471,660,72.535198
765.417908,309,72.667892
1816.176307,720,72.964574
1211.707134,446,73.153691
1956.521498,837,73.511381
1590.737769,626,73.77797
795.485489,249,73.88443
1190.356859,439,74.067112
1808.597969,657,74.346858
906.279127,317,74.483693
1835.117659,654,74.760369
1480.567372,545,74.983207
1819.764502,689,75.274144
202.82123,123,75.328102
1048.665742,358,75.479958
557.206192,279,75.599637
2044.466449,790,75.936418
2512.910141,1000,76.347394
1623.245626,534,76.570342
1221.355562,414,76.746156
1861.987566,725,78.684423
1124.045626,394,78.852854
764.833668,246,78.955127
1191.407686,414,79.126268
1528.766613,554,79.360951
1546.377158,592,79.614516
227.900266,127,79.670087
891.108481,372,79.826121
1105.171571,371,79.983594
2463.072493,844,80.34235
1344.595695,498,80.554941
1854.906666,625,80.819727
1110.156901,387,80.98475
916.153481,344,81.130435
2632.306839,1000,81.551569
1786.763917,674,81.837182
1823.023975,628,82.104702
1832.61425,758,82.42976
809.333759,264,82.541409
751.97331,229,82.638783
1048.698324,390,82.803911
2503.546417,978,83.219217
2002.463056,732,83.533195
1081.318818,338,83.673009
1190.566489,389,83.837954
1951.728592,733,84.146157
2261.309565,1000,84.568214
1665.332821,707,84.866356
1233.131,463,85.061028
1644.518161,491,85.266043
1864.406228,900,85.646471
1065.381018,401,85.814949
2681.376673,1000,87.880361
2341.733738,971,88.297004
995.067585,328,88.437801
1641.479765,602,88.695163
873.859792,258,88.80512
2255.096532,771,89.132663
2491.868159,976,89.545168
1450.671636,550,89.777283
964.200526,344,89.923656
1201.421532,432,90.107173
1781.879567,655,90.387058
1102.811393,336,90.530432
2118.173318,779,90.850819
1869.817895,639,91.110775
1720.907173,724,91.406692
2237.246179,1000,91.816968
378.626868,137,91.874724
1592.853728,489,92.079873
1381.438133,484,92.285758
864.360763,288,92.408799
1517.72833,499,92.620067
1585.958621,554,92.853162
1173.552104,479,93.054704
2497.91711,873,93.425033
1856.996894,698,93.722743
1092.682035,361,93.876873
2429.397384,897,94.257619
986.723622,346,94.405665
2357.426519,874,94.773044
2455.416744,1000,95.198272
1341.313616,462,95.395713
2189.574944,1000,95.820433
562.696427,168,97.669866
1556.713954,525,97.884506
2872.24161,986,98.296899
2172.900915,824,98.646597
1234.120011,405,98.818407
2551.78999,1000,99.238336
752.62683,393,99.405707
2549.206153,1000,99.817611
1022.214944,342,99.961994
1119.103379,348,100.109568
1063.661441,342,100.253528
1524.743646,521,100.475903
1163.374184,561,100.715127
1842.576454,741,101.028563
2765.844465,996,101.450339
1112.327478,341,101.595308
2778.934603,1000,102.01405
649.464919,202,102.100396
1975.24223,735,102.410553
2451.48118,985,102.826225
1102.5726,353,102.976584
1621.249474,543,103.204301
1765.695153,630,103.468884
1162.268972,412,103.640858
1115.828239,376,103.797272
