#{"t_start": 1533039198.3577511, "env_id": "Hopper-v2"}
r,l,t
18.225129,18,10.148356
10.651717,35,10.163779
36.644577,59,10.19195
47.305154,40,10.210274
95.063182,54,10.23456
156.62927,100,10.278263
73.895131,43,10.297274
126.507278,69,10.327568
11.67167,17,10.335189
141.715043,73,10.367439
7.625907,12,10.372845
4.374061,15,10.379667
17.217976,28,10.392314
63.979289,44,10.411557
30.871442,26,10.423186
97.864892,55,10.447614
13.24948,22,10.457438
91.722803,68,10.487652
23.82476,44,10.505837
146.153433,87,10.543875
136.508934,74,10.575972
10.924685,21,10.584351
46.241316,38,10.599371
64.796173,38,10.614618
70.126282,44,10.633774
229.64911,111,10.682579
9.643807,12,10.687857
14.839531,23,10.698159
88.481108,50,10.718525
106.768676,67,10.745498
17.300145,19,10.753969
60.272658,36,10.769881
28.309326,24,10.781143
74.742056,46,10.803498
43.979168,35,10.818786
78.848991,46,10.839045
75.351706,45,10.858849
49.276366,29,10.870457
25.838059,33,10.88388
10.51555,18,10.891047
23.976569,23,10.900131
11.452193,22,10.91009
27.920664,52,10.933123
80.797138,51,10.955623
34.614203,36,10.971722
99.069712,57,10.996279
30.199453,29,11.009347
36.82128,32,11.023717
9.114534,13,11.02967
25.3972,31,11.04366
51.170121,51,11.066167
72.940337,43,11.086108
69.7276,42,11.104974
86.954757,48,11.126248
36.28007,50,11.148473
23.768895,35,11.164251
108.976536,66,11.193473
70.370327,42,11.211873
28.029702,29,11.224736
76.02664,45,11.244572
85.222075,55,11.269032
122.320858,76,11.769166
235.670219,112,11.820067
26.089453,22,11.829926
58.274387,35,11.84551
61.08747,44,11.865014
73.99875,44,11.884518
114.892886,63,11.911878
92.340122,54,11.936075
101.91595,58,11.961805
11.275934,16,11.968952
149.668675,115,12.019586
73.36991,50,12.041551
15.125218,16,12.048662
60.888004,35,12.06415
118.924752,85,12.101856
60.137169,37,12.118171
136.657386,80,12.152541
40.908442,44,12.172111
95.370579,55,12.196218
79.110857,46,12.215977
13.600367,20,12.224921
15.492668,28,12.237539
69.194901,42,12.255942
58.79013,35,12.271479
121.509068,70,12.30256
86.625002,57,12.327518
93.328861,56,12.352514
121.132874,63,12.380005
117.493007,64,12.408037
10.995993,15,12.414573
70.259137,42,12.433429
32.718695,36,12.449432
18.809695,18,12.45741
75.762664,53,12.481005
127.910075,76,12.514684
114.399347,60,12.541315
69.568751,42,12.559675
126.619021,78,12.594096
148.616978,79,12.629209
91.089011,52,12.651857
154.388788,91,12.691885
139.472336,77,12.725342
93.96436,53,12.74823
97.673065,60,12.7749
66.679554,43,12.793717
122.279095,74,12.825806
153.107526,86,12.863496
8.806286,10,12.868041
118.399716,83,12.902109
52.703371,39,12.91766
73.464715,44,12.935313
90.58883,58,12.95957
102.63407,57,12.984434
39.990183,31,12.998193
218.374225,114,13.044019
41.931184,40,13.061489
84.840723,64,13.090135
208.788733,105,13.134754
118.644963,68,13.16518
210.789038,98,13.207406
89.318018,51,13.228045
74.898385,47,13.248767
89.976416,51,13.270188
79.644263,50,13.290844
88.158163,58,13.31661
148.875065,78,13.351297
79.710878,54,13.375242
70.361594,44,13.394032
84.879695,53,13.416869
56.233164,34,13.431999
69.873599,46,13.452325
15.99613,29,13.465193
159.183358,96,13.506879
65.727763,67,13.536358
71.66203,45,13.556075
6.521021,29,13.568818
73.828872,43,13.587304
69.5701,42,13.605523
62.129634,50,13.627653
29.577644,31,13.641356
85.582077,49,13.663013
164.696634,120,13.715937
9.64757,11,13.720824
47.870648,29,13.733805
70.811328,46,13.753994
56.359977,34,13.769042
161.266596,77,13.803406
97.883421,54,13.827424
58.505086,35,13.842811
83.544233,49,13.864062
75.584065,45,13.884017
111.779523,60,13.910179
206.462048,106,14.423044
100.536379,54,14.446417
60.587305,36,14.461797
64.263531,39,14.478404
80.631538,46,14.497317
151.82588,81,14.531661
182.580458,95,14.571601
161.363321,78,14.604309
258.103907,121,14.654656
166.281457,89,14.692238
112.555408,66,14.719983
80.359763,48,14.739653
249.349512,151,14.803263
212.671126,111,14.849799
68.309344,40,14.866483
199.397639,112,14.913544
193.435339,92,14.953984
126.52221,65,14.982362
92.416035,54,15.006472
194.410838,119,15.058562
80.048889,57,15.084093
91.4602,74,15.116536
46.251443,27,15.128481
181.75237,91,15.168346
130.268008,75,15.200544
18.995001,16,15.207744
55.738619,34,15.22277
149.703303,74,15.254952
151.863562,78,15.288885
185.895055,104,15.334981
229.709051,130,15.391882
161.647085,81,15.428057
65.413009,39,15.445235
138.393692,79,15.479564
211.66198,124,15.533364
77.760304,49,15.55443
123.508422,67,15.583121
234.409943,109,15.630384
128.290232,78,15.663692
84.436872,57,15.688567
113.775897,64,15.716353
87.703167,62,15.743434
237.533869,114,15.792252
81.886693,52,15.815046
60.88,38,15.83163
155.169651,84,15.867503
101.270593,56,15.891796
74.930235,44,15.911183
9.272621,31,15.924802
96.194319,53,15.948219
146.370177,76,15.981447
136.153127,91,16.021339
169.836705,98,16.064127
113.165461,76,16.096853
104.865496,60,16.123196
136.993259,75,16.156614
92.366164,55,16.181058
75.615564,50,16.202908
52.695562,31,16.21653
223.990621,131,16.273871
183.319527,113,16.323252
109.126061,70,16.354249
62.109135,37,16.370518
185.727027,100,16.414138
154.911006,87,16.452724
125.351519,72,16.484107
196.681531,118,16.53568
54.055333,33,16.550275
111.784581,81,16.586363
94.772221,54,17.109823
