entloss,EpisodesSoFar,EpThisIter,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,ev_tdlam_before,surrgain,entropy,EpLenMean,meankl
0.0,1973,6,1658.6025514560413,219918,0.017974406,114.4723904132843,0.6921021044254303,0.017974406,3.6459122,551.6,0.004753574
0.0,1982,9,1642.4976831961314,224406,0.022227196,117.01730918884277,0.9108597412705421,0.022227196,3.640843,552.8,0.0055487803
0.0,1990,8,1724.190066452034,229926,0.023740089,119.57411932945251,0.8565815985202789,0.023740089,3.6254902,584.65,0.0059762094
0.0,1998,8,1790.6800923106912,234311,0.021783922,122.17202377319336,0.8519246578216553,0.021783922,3.6334622,609.5,0.0059880293
0.0,2005,7,1871.9937998106784,239145,0.019678839,124.71096849441528,0.8403904289007187,0.019678839,3.6302102,640.175,0.00512535
0.0,2014,9,1789.1161464326353,244795,0.020843813,127.32493209838867,0.9149388894438744,0.020843813,3.6173422,614.625,0.005673948
0.0,2021,7,1879.07110268812,249696,0.019672485,129.88491487503052,0.9170044660568237,0.019672485,3.603432,645.25,0.0050939484
0.0,2028,7,1843.2915668982118,254412,0.022387948,132.4237926006317,0.8331020474433899,0.022387948,3.6071718,636.75,0.0063140676
0.0,2035,7,1930.83490968273,259851,0.019226933,134.9323239326477,0.7106850445270538,0.019226933,3.5885122,667.725,0.005398796
0.0,2041,6,2035.850964145045,264469,0.023860684,137.54772639274597,0.9081980362534523,0.023860684,3.583273,699.975,0.0049706474
0.0,2048,7,2041.1285231403679,269682,0.02028205,140.1683316230774,0.6947407722473145,0.02028205,3.5610418,701.65,0.006406846
0.0,2054,6,2162.425236792904,274389,0.02074352,142.7267735004425,0.836655929684639,0.02074352,3.5428824,739.85,0.0063884817
0.0,2059,5,2251.461035773163,279140,0.018108262,145.27126479148865,0.5847537517547607,0.018108262,3.528184,771.0,0.005307454
0.0,2065,6,2330.2243138418817,284353,0.018700523,147.76735711097717,0.8326558023691177,0.018700523,3.5259852,796.15,0.005284472
0.0,2071,6,2387.004511511052,289756,0.018746784,150.30611896514893,0.7320079505443573,0.018746784,3.523459,815.8,0.005545514
0.0,2077,6,2413.4192646711444,294606,0.019276008,152.8346221446991,0.8526036292314529,0.019276008,3.5288305,822.175,0.005323569
0.0,2083,6,2443.128940929636,299737,0.017983705,155.40398955345154,0.8366826772689819,0.017983705,3.518095,831.7,0.0058602984
0.0,2089,6,2537.643577362912,304919,0.020783637,157.94703722000122,0.6859601140022278,0.020783637,3.543191,864.95,0.006265666
0.0,2095,6,2516.9570829191457,309757,0.021687808,160.46296525001526,0.8112013041973114,0.021687808,3.5351493,859.2,0.005643135
0.0,2101,6,2491.030094467596,314790,0.02465733,163.07837462425232,0.8098936229944229,0.02465733,3.5189512,846.05,0.0062592756
0.0,2108,7,2436.6613921923913,319720,0.019479016,165.60274624824524,0.9046944156289101,0.019479016,3.503411,822.825,0.0051557412
0.0,2115,7,2342.264656074772,324528,0.021907104,168.20420122146606,0.9089564755558968,0.021907104,3.5000858,783.4,0.0054912833
0.0,2121,6,2355.2378709477225,329415,0.021851595,170.7700333595276,0.7265598475933075,0.021851595,3.4831312,788.05,0.0057804896
0.0,2127,6,2333.0274462962925,334112,0.02160158,173.34371781349182,0.7569365352392197,0.02160158,3.4680245,775.0,0.0056289327
0.0,2133,6,2370.960719733344,339546,0.021239584,175.88809823989868,0.4365907311439514,0.021239584,3.4757164,785.925,0.0062089264
0.0,2139,6,2362.262083964907,344026,0.020885568,178.44169926643372,0.9012668579816818,0.020885568,3.4681046,777.875,0.0057399664
0.0,2145,6,2429.2501415966044,349263,0.022417795,181.00798964500427,0.6758158802986145,0.022417795,3.4500797,803.7,0.005709634
0.0,2151,6,2463.3688555983913,354896,0.01942147,183.66835856437683,0.38113754987716675,0.01942147,3.446417,818.275,0.006846018
0.0,2157,6,2497.1839543157844,359731,0.02793976,186.23780822753906,0.6487265229225159,0.02793976,3.4298027,834.8,0.0068820356
0.0,2163,6,2451.849939888472,364251,0.019810038,188.8067910671234,0.8339095115661621,0.019810038,3.4316337,820.9,0.005114921
0.0,2168,5,2537.4742203857536,369251,0.023272373,191.39656805992126,-0.020836472511291504,0.023272373,3.4017448,853.475,0.0060563185
0.0,2174,6,2517.0556237927785,374415,0.022942564,193.96850562095642,0.5576959848403931,0.022942564,3.401095,851.95,0.006070688
0.0,2179,5,2603.545133405679,379415,0.022783939,196.56605172157288,0.346158504486084,0.022783939,3.401235,884.725,0.0061950902
0.0,2184,5,2631.701857098707,384055,0.021411369,199.13183069229126,0.3032037019729614,0.021411369,3.4135811,894.8,0.0055800513
0.0,2192,8,2508.456415821058,389966,0.02039095,201.77171850204468,0.7437580227851868,0.02039095,3.4208992,851.75,0.0055581382
0.0,2198,6,2510.1459049613986,394806,0.023945635,204.36185908317566,0.7619660496711731,0.023945635,3.4182124,851.875,0.0060030143
0.0,2206,8,2387.214182852003,399632,0.02559962,206.85499334335327,0.8721113950014114,0.02559962,3.3985918,809.525,0.0064910934
0.0,2213,7,2271.707562503846,404691,0.024769306,209.32725381851196,0.8789331540465355,0.024769306,3.3981864,763.825,0.005863634
0.0,2219,6,2249.3924259722708,409623,0.02147986,211.88066267967224,0.6254505515098572,0.02147986,3.399168,755.2,0.0058615156
0.0,2224,5,2279.338082520844,414623,0.022150422,214.50194668769836,0.16772443056106567,0.022150422,3.3907747,764.2,0.005968422
0.0,2230,6,2266.2511789363016,419156,0.01942818,217.11867880821228,0.7778393924236298,0.01942818,3.391446,757.7,0.0054632653
0.0,2235,5,2322.1901428985175,424121,0.021395572,219.7276906967163,0.40626460313796997,0.021395572,3.3923323,778.875,0.0055056456
0.0,2241,6,2449.0554701433693,429752,0.02155988,222.30909967422485,0.36477750539779663,0.02155988,3.391141,823.125,0.0050025927
0.0,2246,5,2578.564756673696,434298,0.021044042,224.91484260559082,0.8069927096366882,0.021044042,3.372405,866.65,0.0050309496
0.0,2252,6,2616.65930515238,439588,0.02191951,227.5147829055786,0.5372003316879272,0.02191951,3.3734233,882.225,0.0060045337
0.0,2258,6,2682.572150567868,444708,0.019725027,230.08878636360168,0.6090906858444214,0.019725027,3.3687692,902.125,0.0058836825
0.0,2263,5,2681.4503647830525,449708,0.020412972,232.6773383617401,-0.0020804405212402344,0.020412972,3.348723,902.125,0.0060239066
0.0,2269,6,2664.623334529777,454477,0.023332752,235.26985836029053,0.7360467314720154,0.023332752,3.3454516,894.725,0.0061259256
0.0,2275,6,2673.1330030403115,459897,0.021873213,237.80834007263184,0.370575487613678,0.021873213,3.3089633,894.4,0.0059838844
0.0,2281,6,2612.62083406363,464642,0.022176696,240.3864848613739,0.6292440891265869,0.022176696,3.3012981,872.25,0.0066188974
0.0,2287,6,2545.654016366019,469260,0.020911261,242.8871853351593,0.6299391090869904,0.020911261,3.3228776,849.05,0.0060540102
0.0,2293,6,2555.709690596723,474617,0.024878917,245.4923403263092,0.3893454074859619,0.024878917,3.312352,850.725,0.0061125387
0.0,2298,5,2598.702128515689,479226,0.020643044,248.01780581474304,0.5894506871700287,0.020643044,3.314324,862.95,0.0057960376
0.0,2304,6,2585.777455491943,484913,0.017853549,250.53785729408264,0.3891279697418213,0.017853549,3.3081968,855.125,0.005456455
0.0,2310,6,2586.936953208538,489647,0.022163928,253.09773778915405,0.7425329685211182,0.022163928,3.2902546,854.25,0.006032595
0.0,2315,5,2588.6961174786006,494022,0.023710364,255.68121600151062,0.4565610885620117,0.023710364,3.2863536,853.125,0.0069138403
