#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
155.089022,94,7.111444
58.054475,37,7.126995
36.295882,30,7.139711
32.706449,33,7.153866
71.858656,49,7.174154
29.958865,27,7.185461
51.774527,31,7.198689
53.29386,33,7.212622
6.877304,10,7.216752
158.686913,82,7.251088
17.720312,18,7.25859
14.158924,16,7.265243
68.203359,57,7.289287
19.001963,22,7.298598
10.77383,17,7.305673
45.989214,66,7.333338
99.134424,70,7.362981
93.75674,60,7.388357
21.249368,31,7.401559
31.213051,35,7.417048
99.75476,56,7.441036
11.679447,30,7.452953
13.400691,15,7.458771
9.648478,12,7.463468
18.82592,16,7.469726
38.497057,28,7.480761
147.926925,81,7.515047
60.217336,36,7.531011
17.487063,17,7.538581
114.583701,61,7.565409
15.379854,18,7.573377
40.953844,33,7.587938
8.749414,11,7.592855
91.641427,55,7.61673
50.780024,30,7.630024
5.546738,8,7.633601
125.265788,97,7.677749
22.815008,29,7.691027
13.872313,17,7.69857
14.197003,20,7.707668
58.834783,37,7.724043
78.640944,44,7.743302
58.400318,45,7.762992
10.382394,13,7.768689
21.625231,22,7.778329
74.087396,52,7.800992
37.561644,27,7.812844
98.210792,61,7.839873
18.645571,27,7.851999
8.231952,11,7.856855
58.709706,41,7.874854
82.31944,51,7.89737
79.929537,47,7.917836
78.446241,51,7.940364
10.627283,17,7.947894
18.696632,17,7.955357
6.917438,9,7.959295
41.148754,28,7.971679
20.959047,20,7.980484
76.106047,57,8.005429
12.239954,14,8.011589
67.218264,44,8.031014
49.888078,49,8.052452
43.910373,34,8.067414
12.223644,16,8.07449
72.451426,51,8.096711
7.166317,11,8.101496
8.997294,20,8.110283
24.574296,21,8.119613
107.612306,84,8.156632
14.898236,30,8.169797
75.449973,58,8.195113
7.052997,9,8.199098
75.352062,44,8.218439
69.721386,44,8.237766
54.317404,32,8.251827
8.400572,14,8.258068
39.937221,45,8.278973
107.433037,71,8.310069
6.813146,9,8.313994
41.883794,39,8.331224
19.689188,20,8.340082
6.665599,12,8.345442
128.289897,69,8.375449
9.965113,11,8.380345
76.014804,44,8.39972
12.413603,13,8.405519
89.950817,51,8.427709
101.225171,55,8.451902
17.13267,22,8.461624
38.421176,29,8.474471
25.948093,29,8.487263
28.781008,25,8.498214
53.394615,45,8.517972
117.928382,71,9.061174
103.950207,56,9.084823
12.872557,14,9.090749
67.814087,43,9.108714
71.153924,43,9.126742
110.616895,74,9.157775
14.08734,14,9.163668
70.683681,42,9.181371
94.569508,53,9.203592
75.658682,46,9.222867
24.995997,24,9.232923
